latent_index,spearman,p_value
955,-0.12487961188275339,0.21573527695428654
956,,
957,,
958,0.4100186920540414,2.2706583117728957e-05
959,-0.300194721236774,0.0024091945282366475
960,,
961,,
962,,
963,-0.05645415350501869,0.5769201370130779
964,0.234001506173651,0.019117723891294895
965,0.5066052199894986,7.538144204956889e-08
966,,
967,,
968,0.39714128841652335,4.29409322846578e-05
969,0.29456610771767244,0.0029305583940198855
970,,
971,0.20674653538073065,0.03903417104305347
972,,
973,,
974,,
975,0.012541367009512017,0.9014405626386637
976,0.3328082761155768,0.0007163983324762523
977,0.3640656831742122,0.00019646681067070666
978,0.3642817067207875,0.00019462629570807282
979,,
980,,
981,,
982,,
983,,
984,,
985,-0.42484630826480896,1.0547148562159408e-05
986,,
987,-0.1020531237946272,0.3123317494701554
988,,
989,,
990,-0.2902216341698797,0.0034000332809107415
991,,
992,,
993,,
994,0.11272228673381972,0.26415940092502166
995,-0.07661035053131095,0.44869884666607673
996,,
997,0.4531873974446775,2.1945193524846653e-06
998,-0.2031761462081662,0.04261990650284188
999,,
1000,0.33319831863022664,0.0007054990961194953
1001,,
1002,,
1003,-0.45703381670453264,1.75388905946031e-06
1004,,
1005,,
1006,0.38116754727809227,9.133367020341862e-05
1007,0.3398529162750062,0.0005414437195825715
1008,,
1009,,
1010,-0.35505870141283546,0.0002891857510227497
1011,,
1012,,
1013,0.3420792866561012,0.0004949086970470029
1014,,
1015,,
1016,,
1017,,
1018,,
1019,,
1020,,
1021,,
1022,,
1023,,
1024,-0.24215639505686956,0.015209034851085847
1025,0.22906296787277616,0.021882539939046406
1026,,
1027,,
1028,,
1029,,
1030,,
1031,-0.2922558559001307,0.0031724098698256427
1032,,
1033,0.017209875877167685,0.8650513295749547
1034,,
1035,,
1036,,
1037,0.18168780397799275,0.07043169001640409
1038,,
1039,,
1040,0.5109736961535774,5.573783551572265e-08
1041,0.3228471903568256,0.0010526102897760994
1042,,
1043,0.292705904955496,0.003123936986710899
1044,0.2607884259489915,0.008777262304915191
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,0.5593149653538783,1.4606072562658695e-09
1052,,
1053,0.23357545973457186,0.019343768548519855
1054,,
1055,,
1056,-0.29366000895287037,0.0030233666759749084
1057,,
1058,-0.20420825870847054,0.041556238401627414
1059,,
1060,-0.06845546164809238,0.4985693070327434
1061,,
1062,,
1063,,
1064,0.383009748078054,8.388522274067295e-05
1065,,
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,-0.15132449437601628,0.13286773267886834
1079,,
1080,-0.23704744600928931,0.0175669062721085
1081,,
1082,,
1083,-0.42776862679764743,9.028819102824849e-06
1084,-0.42269807410719873,1.181300557969619e-05
1085,0.5902123331682214,1.0306577655493824e-10
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,-0.30579333148551785,0.001975060955535068
1094,,
1095,,
1096,0.4639254468554249,1.1657664585330927e-06
1097,,
1098,,
1099,0.4569907153478108,1.7583260771249962e-06
1100,,
1101,0.42932279620217545,8.30758251066319e-06
1102,,
1103,,
1104,0.14030729350067464,0.163822285703196
1105,,
1106,0.5707102074357268,5.671692593749388e-10
1107,,
1108,,
1109,,
1110,,
1111,,
1112,-0.3949390483722693,4.7759979155437945e-05
1113,-0.14374566828366525,0.15363588338998627
1114,0.3031470430399701,0.0021705819289947166
1115,,
1116,,
1117,,
1118,,
1119,,
1120,-0.5029148177355033,9.696326359507948e-08
1121,,
1122,0.4612942810953238,1.3639386499772718e-06
1123,-0.29924203917558606,0.0024910905842610016
1124,,
1125,-0.0838951445741567,0.4066133526456972
1126,,
1127,,
1128,-0.14226350672799565,0.1579671518962316
1129,,
1130,-0.33528054559304993,0.0006498377903183744
1131,0.5821954593286482,2.1061139956660688e-10
1132,,
1133,0.44272225674391724,3.983364238318378e-06
1134,0.4628304485376372,1.244675224957395e-06
